,user_id,age,gender,occupation,zip_code
0,0,0.25757575757575757,M,technician,85
1,1,0.696969696969697,F,other,94
2,2,0.24242424242424243,M,writer,32
3,3,0.25757575757575757,M,technician,43
4,4,0.3939393939393939,F,other,15
5,5,0.5303030303030303,M,executive,98
6,6,0.7575757575757576,M,administrator,91
7,7,0.4393939393939394,M,administrator,05
8,8,0.3333333333333333,M,student,01
9,9,0.696969696969697,M,lawyer,90
10,10,0.48484848484848486,F,other,30
11,11,0.3181818181818182,F,other,06
12,12,0.6060606060606061,M,educator,29
13,13,0.5757575757575758,M,scientist,55
14,14,0.6363636363636364,F,educator,97
15,15,0.21212121212121213,M,entertainment,10
16,16,0.3484848484848485,M,programmer,06
17,17,0.42424242424242425,F,other,37
18,18,0.5,M,librarian,02
19,19,0.5303030303030303,F,homemaker,95
20,20,0.2878787878787879,M,writer,30
21,21,0.2727272727272727,M,writer,40
22,22,0.3484848484848485,F,artist,48
23,23,0.21212121212121213,F,artist,94
24,24,0.48484848484848486,M,engineer,55
25,25,0.6363636363636364,M,engineer,21
26,26,0.5,F,librarian,30
27,27,0.3787878787878788,M,writer,55
28,28,0.5151515151515151,M,programmer,94
29,29,0.0,M,student,55
30,30,0.25757575757575757,M,artist,10
31,31,0.3181818181818182,F,student,78
32,32,0.24242424242424243,M,student,27
33,33,0.4696969696969697,F,administrator,42
34,34,0.19696969696969696,F,homemaker,42
35,35,0.18181818181818182,F,student,93
36,36,0.24242424242424243,M,student,55
37,37,0.3181818181818182,F,other,54
38,38,0.5151515151515151,M,entertainment,01
39,39,0.4696969696969697,M,scientist,27
40,40,0.3939393939393939,M,engineer,80
41,41,0.3484848484848485,M,administrator,17
42,42,0.3333333333333333,F,librarian,20
43,43,0.2878787878787879,M,technician,46
44,44,0.3333333333333333,M,programmer,50
45,45,0.30303030303030304,F,marketing,46
46,46,0.696969696969697,M,marketing,07
47,47,0.5757575757575758,M,administrator,12
48,48,0.24242424242424243,F,student,76
49,49,0.21212121212121213,M,writer,52
50,50,0.3181818181818182,M,educator,16
51,51,0.16666666666666666,F,student,55
52,52,0.2878787878787879,M,programmer,55
53,53,0.22727272727272727,M,executive,66
54,54,0.45454545454545453,M,programmer,01
55,55,0.2727272727272727,M,librarian,46
56,56,0.13636363636363635,M,none,84
57,57,0.30303030303030304,M,programmer,52
58,58,0.6363636363636364,M,educator,08
59,59,0.6515151515151515,M,healthcare,06
60,60,0.4393939393939394,M,engineer,30
61,61,0.30303030303030304,F,administrator,97
62,62,0.36363636363636365,M,marketing,75
63,63,0.3787878787878788,M,educator,43
64,64,0.6666666666666666,F,educator,48
65,65,0.24242424242424243,M,student,80
66,66,0.15151515151515152,M,student,60
67,67,0.18181818181818182,M,student,22
68,68,0.25757575757575757,M,engineer,55
69,69,0.30303030303030304,M,engineer,60
70,70,0.48484848484848486,M,scientist,98
71,71,0.6212121212121212,F,administrator,73
72,72,0.25757575757575757,M,student,41
73,73,0.48484848484848486,M,scientist,T8
74,74,0.25757575757575757,M,entertainment,08
75,75,0.19696969696969696,M,student,02
76,76,0.3484848484848485,M,technician,29
77,77,0.2878787878787879,M,administrator,61
78,78,0.48484848484848486,F,administrator,03
79,79,0.4090909090909091,F,administrator,52
80,80,0.21212121212121213,M,student,21
81,81,0.6515151515151515,M,programmer,22
82,82,0.5,M,other,44
83,83,0.3787878787878788,M,executive,55
